0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2
44,0.12,0.12,0.18,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.12,0.13,0.18,0.12,0.14
45,0.12,0.13,0.18,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.13,0.13,0.18,0.13,0.14
46,0.12,0.13,0.18,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.13,0.13,0.18,0.13,0.14
47,0.12,0.13,0.18,0.13,0.14,0.13,0.12,0.14,0.12,0.14,0.13,0.13,0.18,0.13,0.14
48,0.12,0.13,0.18,0.13,0.14,0.13,0.12,0.14,0.12,0.14,0.13,0.13,0.18,0.13,0.14
49,0.12,0.13,0.18,0.13,0.14,0.13,0.12,0.15,0.12,0.14,0.14,0.13,0.18,0.13,0.14
50,0.12,0.13,0.18,0.13,0.14,0.13,0.12,0.15,0.12,0.14,0.14,0.13,0.18,0.14,0.13
51,0.12,0.13,0.17,0.13,0.14,0.13,0.12,0.15,0.13,0.13,0.14,0.14,0.18,0.14,0.13
52,0.12,0.13,0.17,0.13,0.14,0.13,0.12,0.14,0.14,0.13,0.14,0.14,0.18,0.14,0.13
53,0.12,0.13,0.17,0.13,0.14,0.12,0.14,0.13,0.14,0.13,0.14,0.14,0.18,0.14,0.13
54,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.14,0.18,0.14,0.13
55,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.14,0.17,0.14,0.13
56,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.14,0.17,0.14,0.13
57,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.14,0.17,0.13,0.14
58,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.14,0.13,0.14,0.13,0.14,0.17,0.13,0.14
59,0.12,0.14,0.18,0.13,0.14,0.12,0.13,0.14,0.13,0.14,0.13,0.14,0.17,0.13,0.14
60,0.12,0.14,0.18,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.17,0.14,0.13
61,0.12,0.14,0.18,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.17,0.14,0.13
62,0.12,0.14,0.18,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.17,0.14,0.13
63,0.12,0.14,0.18,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.17,0.14,0.13
64,0.12,0.14,0.18,0.13,0.13,0.13,0.13,0.15,0.13,0.14,0.13,0.14,0.17,0.14,0.13
65,0.12,0.13,0.18,0.13,0.14,0.13,0.13,0.15,0.13,0.14,0.13,0.15,0.17,0.13,0.13
67,0.13,0.13,0.18,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.16,0.13,0.13
68,0.14,0.13,0.18,0.13,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.16,0.13,0.13
69,0.14,0.13,0.18,0.13,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.16,0.13,0.13
70,0.14,0.13,0.18,0.14,0.15,0.13,0.13,0.13,0.15,0.14,0.13,0.15,0.16,0.13,0.13
71,0.14,0.13,0.18,0.14,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.15,0.16,0.14,0.13
72,0.14,0.13,0.18,0.14,0.15,0.12,0.13,0.14,0.14,0.14,0.13,0.14,0.16,0.14,0.14
73,0.14,0.13,0.18,0.14,0.15,0.12,0.13,0.14,0.14,0.15,0.13,0.14,0.16,0.14,0.14
74,0.14,0.13,0.17,0.14,0.15,0.13,0.13,0.15,0.13,0.15,0.13,0.14,0.16,0.14,0.14
75,0.14,0.13,0.17,0.14,0.15,0.13,0.13,0.14,0.14,0.15,0.13,0.14,0.16,0.14,0.14
76,0.14,0.13,0.17,0.14,0.15,0.13,0.14,0.14,0.13,0.15,0.13,0.14,0.16,0.14,0.14
77,0.14,0.13,0.17,0.14,0.15,0.13,0.13,0.14,0.13,0.15,0.13,0.14,0.16,0.14,0.14
78,0.14,0.13,0.17,0.14,0.15,0.13,0.13,0.14,0.13,0.15,0.13,0.14,0.16,0.14,0.14
79,0.14,0.13,0.17,0.15,0.15,0.13,0.13,0.14,0.13,0.15,0.13,0.14,0.16,0.14,0.14
