0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
30,0.1,0.1,0.09,0.1,0.12,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.35,0.12,0.11,0.1,0.11,0.13,0.13,0.09,0.1,0.12,0.09,0.11,0.11
31,0.1,0.1,0.09,0.1,0.12,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.34,0.12,0.11,0.1,0.11,0.14,0.13,0.09,0.1,0.12,0.09,0.11,0.11
32,0.1,0.1,0.09,0.1,0.12,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.34,0.12,0.11,0.1,0.11,0.14,0.13,0.09,0.1,0.12,0.09,0.11,0.11
33,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.35,0.12,0.11,0.1,0.11,0.14,0.12,0.1,0.1,0.12,0.09,0.11,0.11
34,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.35,0.12,0.11,0.1,0.11,0.14,0.12,0.1,0.1,0.12,0.09,0.11,0.11
35,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.35,0.11,0.12,0.1,0.11,0.14,0.12,0.1,0.1,0.12,0.09,0.11,0.11
36,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.35,0.11,0.12,0.1,0.11,0.14,0.12,0.1,0.1,0.12,0.09,0.11,0.11
37,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.33,0.11,0.12,0.1,0.11,0.15,0.12,0.11,0.1,0.12,0.08,0.11,0.11
38,0.1,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.32,0.11,0.11,0.1,0.11,0.16,0.12,0.11,0.1,0.12,0.08,0.11,0.11
39,0.11,0.1,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.31,0.12,0.11,0.1,0.11,0.16,0.11,0.11,0.1,0.12,0.08,0.12,0.11
40,0.1,0.11,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.16,0.12,0.11,0.1,0.12,0.08,0.12,0.11
41,0.1,0.11,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.1,0.12,0.08,0.12,0.11
